"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B01LX68WFX","B01LX68WFX","BIOLABS PRO All Natural Bioidentical 20mg Dhea Cream - Two Month Supply - for Men or Women (Unscented - 3.0oz)","BIOLABS PRO","FBA","Health & Household",80620,"Blended Vitamin & Mineral Supplements",31.99,-6,410,334,29,14006.71,10707.35,446,4.2,"Shyne Brands",1,3760,3,"Large Standard-Size",1.73,1.81,5.51,0.35,8.71,24.02,"04/30/2024",97,4,2,0.92
"https://amazon.com/dp/B00MCVH3GY","B00MCVH3GY","Pine Pollen Tincture - Lost Empire Herbs Pine Pollen Liquid Extract for Testosterone - Alcohol Tincture is Superior for Better Absorption, 3rd Party Lab Tested (2 fl oz)","LOST EMPIRE HERBS UNLEASH THE POWER OF NATURE","FBA","Health & Household",89107,"Blended Vitamin & Mineral Supplements",34.99,-11,309,309,122,10422.65,10422.65,447,4.2,"Lost Empire Herbs",1,2325,-34,"Large Standard-Size",2.09,2.13,4.8,0.26,10.76,29.68,"12/31/2022",124,7,0,0.69
"https://amazon.com/dp/B01LC8GUYS","B01LC8GUYS","Kapuluan Pure Coconut Oil for Hair, Skin - Raw Extra Virgin Coconut Oil - Pure Unrefined Cold Pressed Oil with MCTs for Body Care or Haircare, Hair Growth, Aceite de Coco Natural 3 Pack, 100ml","Kapuluan","FBA","Beauty & Personal Care",30519,"Oils",24.99,138,500,191,36,10943.55,4780.38,260,4.1,"Kapuluan Coconut",1,7609,21,"Large Standard-Size",1.57,6.22,7.32,0.77,35.99,99.28,"10/31/2023",99,9,3,1.92
"https://amazon.com/dp/B00EJPZDT0","B00EJPZDT0","Maximum Slim Fat & Carb Blocker Pure Kidney Bean Extract for Weight Loss and Appetite Suppressant,","Maximum Slim","FBA","Health & Household",41657,"Carb Blockers",19,-6,529,529,20,10054.85,10054.85,308,4,"Maximum Health Products",2,5866,102,"Large Standard-Size",2.17,2.24,4.21,0.15,10.3,28.42,"07/31/2024",135,9,0,1.72
"https://amazon.com/dp/B0018NKAPI","B0018NKAPI","Sweater Stone - The Original Since 1985 - Garment Care for Sweaters and Knits - A Pumice-Like Brick for Removing Pilling and Balling - A Knitters Secret - Made in The USA","Sweater Stone","FBM","Health & Household",22438,"Lint Removers",16.99,-6,571,571,2189,9705.67,9705.67,212,4.2,"Sweater Stone",1,4414,"N/A","Large Standard-Size",3.8,2.6,1.7,1,"N/A","N/A","12/31/2023",199,13,0,2.69
"https://amazon.com/dp/B084DBBP64","B084DBBP64","Oasis Tears Omega 3 Fish Oil 3000 DHA & EPA 90 Softgels","Oasis Tears","FBA","Health & Household",77861,"Fish Oil",34.95,-11,392,391,25,13702.54,13702.13,73,4.2,"EyeCare&More",4,3919,69,"Large Standard-Size",2.36,2.48,4.88,0.46,14.38,39.67,"09/30/2024",58,1,0,5.37
"https://amazon.com/dp/B08HJSXJST","B08HJSXJST","Bella All Natural Moringa Juice Energy Plus - Multivitamin and Antioxidant Drink - 32oz","Bella All Natural","FBA","Health & Household",44439,"Multivitamins",33,27,302,302,55,10968.49,10968.49,99,4.1,"Bella All Natural",2,4387,"N/A","Large Standard-Size",3.54,3.58,8.58,2.45,54.75,151.02,"03/31/2024",44,8,0,3.05
"https://amazon.com/dp/B094BX7KPM","B094BX7KPM","50,000 MG Hemp Extra Strength Healing Salve | Ideal for HIPS, Joints, Neck, Back, Elbows, Fingers, Hands, and Knees. 100% Natural - Proudly Made in USA","MRS. HEMP","FBM","Health & Household",39127,"Pain Relief Rubs",29.99,-22,543,543,43,17089.17,17089.17,366,4,"Remedy Station",2,6372,110,"Large Standard-Size",3.31,3.39,3.5,0.55,"N/A","N/A","01/31/2024",42,7,0,1.48
"https://amazon.com/dp/B00ZQDV3YI","B00ZQDV3YI","McKesson Foamy Shaving Cream Bulk, Foam Lavender Scented for Men and Women, 11 oz, 12 Count","McKesson","FBM","Beauty & Personal Care",56648,"Shaving Creams",28.98,1,361,300,17,10438.71,8563.05,82,4.2,"SimplyMedical",1,3666,"N/A","Large Standard-Size",17,5.94,6.38,10.85,"N/A","N/A","05/31/2024",113,1,3,4.4
"https://amazon.com/dp/B07DNHZLY4","B07DNHZLY4","FLORIDA HERBS Eyebright Tincture, Organic Eyebright Extract Drops (Euphrasia officinalis) Herb (Pack of 2)","FLORIDA HERBS","FBM","Health & Household",71421,"Nettle",24.99,-6,520,126,73,9743.44,3151.21,174,4.1,"Florida Herbs Store",1,4807,143,"Large Standard-Size",2.9,3.1,7.3,0.7,"N/A","N/A","01/31/2024",77,7,2,2.99
"https://amazon.com/dp/B09KHM43G4","B09KHM43G4","MOXE Daily Aromatherapy Nasal Inhalers Set, All Day Aromatherapy, Therapeutic Grade Essential Oils, Easy & Safe, Leakproof, Portable, Clear Congestion, Improve Energy, Naturally Calming & Relaxing","MOXE","FBA","Health & Household",62388,"Essential Oil Sets",19.99,-3,440,439,299,8788.07,8783.58,306,4,"DTH Manufacturing",1,3064,-3,"Large Standard-Size",1.1,3.66,6.18,0.32,12.56,34.65,"11/30/2023",37,7,0,1.44
