"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0B9G2J21X","B0B9G2J21X","36 Pieces Christmas Buffalo Plaid Hanging Ornaments Christmas Tree Wooden Hanging Decor Wooden Christmas Ornaments Snowflake Reindeer Snowman Plaid Christmas Decor, 12 Styles(Black Red)","BBTO","FBA","Home & Kitchen",49717,"Hanging Ornaments",14.99,91,1188,770,,16994.45,11267.15,139,4.2,"BBTO US",1,2074,13,"Small Standard-Size",0.71,7.91,9.84,0.33,27.79,76.66,"10/31/2024",27,7,3,8.54
"https://amazon.com/dp/B0B74NSK7W","B0B74NSK7W","Bird Bath De Icer, 60w Submergible Utility De Icer, Thermostatic Controlled Winter Water Heater Deicer for Bird, Chicken, Duck, Farm Trough, Design Patent Product","Dreyoo","FBA","Patio, Lawn & Garden",3575,"Birdbath Accessories",26.99,-20,747,746,,13918.36,13911.38,241,4.2,"Dreamyo",1,1686,-9,"Large Standard-Size",2.05,2.13,9.8,0.44,21.54,59.43,"10/31/2023",28,6,0,3.1
"https://amazon.com/dp/B0BFH2SH1K","B0BFH2SH1K","36"" Large Wrestling mat mop Commercial Dust Mops for Floor Cleaning Push mop with Adjustable Handle for Company Hotel Household Cleaning Supplies","Sunki","FBA","Industrial & Scientific",11683,"Dust Mops",31.74,-7,521,383,13,18491.07,14474.14,278,4.1,"SUNKIUS",1,5947,60,"Large Standard-Size",5.39,7.32,17.8,3.55,353.59,975.41,"07/31/2023",26,6,3,1.88
"https://amazon.com/dp/B09WDMQFTV","B09WDMQFTV","Vinda 3-Ply Ultra Care Facial Tissues, 86 Count Each Box, 8 Cube Boxes","Vinda","FBA","Health & Household",50987,"Box Tissues",28.95,3,526,525,-45,15223.27,15223.15,377,3.8,"Vinda Paper",1,10067,-35,"Large Standard-Size",5.87,8.94,17.17,3.37,453.65,1251.45,"06/30/2023",32,6,0,1.39
"https://amazon.com/dp/B0B872CD75","B0B872CD75","W11177741 Dishwasher Gasket Door Seal by Lusperi - Compatible with Whirlpool Maytag Kenmore Dishwashers - Replaces W10300924 W10300924V 4843807 W10660528","Lusperi","FBA","Tools & Home Improvement",28856,"Replacement Parts",22.99,-6,486,485,19,11167.96,11162.97,253,4.2,"K · X appliances",1,5050,29,"Large Standard-Size",1.14,5.71,5.94,0.37,19.47,53.7,"12/31/2023",28,7,0,1.92
"https://amazon.com/dp/B0BCHLC58D","B0BCHLC58D","6 Pcs Christmas Chair Covers Santa Hat Red Slipcovers Chair Back Covers Xmas Chair Covers Decoration for Home Dinner Christmas Banquet Party Festival Decor, 23.6 x 19.6 Inch","Yinder","FBA","Home & Kitchen",82128,"Dining Chair Slipcovers",24.99,5,683,683,,14843.01,14843.01,113,3.7,"Lightcinnabar",1,1187,31,"Large Standard-Size",1.22,10.75,13.39,0.73,88.41,243.9,"10/31/2024",27,7,0,6.05
"https://amazon.com/dp/B0B9XQZ71Y","B0B9XQZ71Y","NiHome 4-Pack Stackable Plastic Kitchen Storage Shelf Foldable Rack - White Kitchen Cabinet Organizer and Storage Shelves Stackable Expandable Storage Racks for Counter Cabinet Pantry","NiHome","FBA","Kitchen & Dining",36187,"Kitchen Storage & Organization Accessories",20.99,-6,543,543,4,11404.42,11404.42,151,4,"Attom Tech",1,4860,618,"Large Standard-Size",4.65,8.66,13.11,1.74,265.8,733.23,"06/30/2024",27,8,0,3.6
"https://amazon.com/dp/B095KWWMHJ","B095KWWMHJ","Organic Cadane 2 Packs Forskolin Supplements Capsules 5000mg & Turmeric, Arjuna, Garcinia Cambogia, Green Tea - Maximum Strength Coleus Forskohlii Extract - Support Energy Production & Immune System","Organic Cadane","FBA","Health & Household",59816,"Fat Burners",19.99,-6,420,419,-8,8395.26,8390.92,371,4.2,"Organic Cadane",1,7022,54,"Large Standard-Size",2.05,3.94,4.13,0.29,16.79,46.33,"03/31/2024",42,7,0,1.13
"https://amazon.com/dp/B0919MYR6L","B0919MYR6L","[ 2 Pack & Timer ] TURNMEON Fall Thanksgiving Decorations Tabletop Fall Tree with 20 LED Battery Operated Eucalyptus Maple Tree Burlap Bowknot Sunflowers Berry Fall Decorations for Home Table Decor","TURNMEON","FBA","Home & Kitchen",870723,"Artificial Trees",19.99,-10,376,375,-41,12873.91,12872.62,243,4.2,"GBD TECH",2,1597,4336,"Large Standard-Size",4.13,6.26,13.78,1.74,179.37,494.81,"10/31/2024",44,7,0,1.55
"https://amazon.com/dp/B09VC4LGFM","B09VC4LGFM","Yellowstone Blanket, 36""x58"" Yellowstone Y Branding Logo Silky Touch Super Soft Throw Blanket","LOGOVISION","FBA","Home & Kitchen",23265,"Throws",26.99,-39,754,429,,25105.14,11650.93,202,4.2,"LogoVision",2,1595,-40,"Large Standard-Size",5.35,7.6,8.62,0.87,176.61,487.2,"11/30/2022",32,7,3,3.73
"https://amazon.com/dp/B09YKJG8HY","B09YKJG8HY","MaryRuth Organics Melatonin 5mg Sleep Gummy with L-Theanine | Lemon Balm | Vitamin B6 | Sugar-Free | Relaxation | Vegan | Non-GMO | Gluten Free | 60 Count","MaryRuth Organics","FBA","Health & Household",34196,"Sleep Supplements",19.95,-18,958,958,38,16912.17,16912.17,344,4.1,"MaryRuth Organics, LLC",2,4509,"N/A","Large Standard-Size",2.44,2.56,5.04,0.42,15.85,43.72,"10/31/2024",31,9,0,2.79
"https://amazon.com/dp/B0B75JXHPP","B0B75JXHPP","Blinc Lash Extension Tubing Mascara, Extreme Lengthening and Defining Mascara with Biotin, Ultra-Longwearing Washable Mascara, Clean, Vegan and Cruelty-Free, 9mL / 0.30 Fl. OZ (Black)","blinc","Amazon","Beauty & Personal Care",37396,"Mascara",26,-6,596,595,-11,15484.51,15484.38,249,3.9,"Amazon",1,7674,51,"Large Standard-Size",1.02,2.48,4.8,0.04,"N/A","N/A","06/30/2024",29,7,0,2.39
"https://amazon.com/dp/B0B518XXPG","B0B518XXPG","Astaxanthin Supplements 24mg, 5 Month Supply - Coconut MCT Oil, Fresh Microalgae Source w/Grape Seed Oil, Ashwagandha - Antioxidants for Healthy Skin, Eyes, Joints, Non-GMO & Gluten Free, 150 Softgels","NEVISS","FBA","Health & Household",42621,"Astaxanthin",34.49,-10,693,692,44,23555.16,23555.03,229,4.2,"Neviss",1,5205,"N/A","Large Standard-Size",2.2,4.02,4.76,0.26,21.23,58.58,"10/31/2024",29,9,2,3.03
"https://amazon.com/dp/B0B6414FR7","B0B6414FR7","Nasitrol Natural Nasal Spray - All-Natural Saline Mist for Congestion and Daily Nose Care - Nasal Spray Essential for Cold and Flu Season - Instant Relief for Adults and Childrens - 25 mL Bottle","Nasitrol","FBA","Health & Household",33822,"Sinus Medicine",19.99,-9,631,507,-7,14706.59,10147.71,83,3.9,"Sumerian Pharma",1,0,"N/A","Large Standard-Size",1.46,1.5,4.96,0.09,5.47,15.09,"08/31/2024",28,6,2,7.6
"https://amazon.com/dp/B09YMYT5SP","B09YMYT5SP","Hume Supernatural Aluminum Free Deodorant for Women & Men - Safe for Sensitive Skin - Probiotic, Plant-Based, Baking Soda Free, Aloe, & Cactus Flower, Anti Sweat, Stain & Odor - Out West, 1-Pack","HUME SUPERNATURAL","FBA","Beauty & Personal Care",29976,"Deodorant",15.99,-8,881,631,8,19116.67,10187.15,437,4.1,"Hume Supernatural",2,0,"N/A","Large Standard-Size",1.61,1.77,4.02,0.31,5.77,15.91,"09/30/2024",31,9,3,2.02
"https://amazon.com/dp/B0B1CVZGJ1","B0B1CVZGJ1","Johnny Slicks Water Based Pomade | Strong Hold, High Shine, Organic Styling for Men | Promotes Healthy Hair Growth & Helps Hydrate Dry Skin (Original, 4 Ounce) US Made, Veteran Owned","Johnny Slicks","FBA","Beauty & Personal Care",25225,"Pomades",33.99,-10,1073,659,19,34306.76,20891.17,203,4.1,"Johnny Slicks",1,8360,108,"Large Standard-Size",2.52,2.68,4.21,0.57,14.32,39.49,"10/31/2024",30,10,2,5.29
"https://amazon.com/dp/B0B4KJVRR8","B0B4KJVRR8","Incense Burner, Incense Holder - Candle or Charcoal Resin Heated for Home Decor Beautiful Adjustable Design for Home Fragrance and Spiritual Gifts, Find Your Balance in a Fantastic Environment","THE JERUSALEM GIFT SHOP SINCE 2004","FBA","Home & Kitchen",101085,"Incense Holders",29.95,-6,405,276,21,12133,8267.22,223,4.1,"The Jerusalem Gift Shop Since 2004",1,0,"N/A","Large Standard-Size",3.5,3.54,5.67,0.57,35.37,97.57,"10/31/2024",29,6,3,1.82
"https://amazon.com/dp/B09TG5RH3R","B09TG5RH3R","UNOVE Heating Guard No-wash Leave In Hair Treatment 147ml/4.97fl.oz | Leave-in Conditioner For Dry Damaged Hair | Heat Protectant & Frizz Control","DR.FORHAIR","FBA","Beauty & Personal Care",44668,"Hair Masks",24,-16,936,936,,22466.17,22466.17,54,4.1,"UNOVE_OFFICIAL",1,1213,144,"Large Standard-Size",2.44,3.23,9.09,0.44,36.07,99.5,"10/31/2024",33,7,0,17.34
